date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-12-13,590.0,606.88,601.75,589.6,40399.41,12.75,2.17,587.594,590.83,574.692,25623.98,37136.52,32201.74
2018-12-12,588.79,589.2,589.0,582.8,19921.54,6.01,1.03,585.604,585.815,572.589,25095.71,37603.52,31723.44
2018-12-11,577.0,586.55,582.99,577.0,16316.6,5.76,1.0,589.824,582.615,570.894,29429.04,38385.16,32815.7
2018-12-10,576.0,587.5,577.23,574.18,24640.68,-9.77,-1.66,593.672,579.126,570.245,32460.5,38776.88,35321.32
2018-12-07,595.6,598.86,587.0,584.7,26841.67,-4.8,-0.81,598.466,576.614,568.983,44215.3,38224.83,37480.5
2018-12-06,600.0,605.98,591.8,590.36,37758.07,-18.3,-3.0,594.066,573.604,567.733,48649.06,37553.29,37355.26
2018-12-05,597.5,616.5,610.1,595.0,41588.19,7.87,1.31,586.026,570.874,566.66,50111.33,35898.81,37155.54
2018-12-04,602.99,604.26,602.23,595.0,31473.88,1.03,0.17,575.406,566.334,564.475,47341.28,34450.73,36981.52
2018-12-03,589.0,605.0,601.2,584.77,83414.68,36.2,6.41,564.58,562.271,562.664,45093.27,33997.66,37686.13
2018-11-30,557.0,568.89,565.0,553.0,49010.46,13.4,2.43,554.762,559.053,561.394,32234.37,29274.12,37291.25
2018-11-29,566.03,569.8,551.6,549.01,45069.45,-5.4,-0.97,553.142,558.553,563.139,26457.52,27266.95,39298.58
2018-11-28,550.85,559.19,557.0,545.5,27737.93,8.9,1.62,555.722,559.363,563.709,21686.3,25843.35,41950.44
2018-11-27,552.0,554.99,548.1,546.5,20233.82,-4.01,-0.73,557.262,559.173,563.304,21560.17,27246.24,45407.79
2018-11-26,558.0,560.2,552.11,552.0,19120.19,-4.79,-0.86,559.962,561.363,562.099,22902.06,31865.76,54615.93
2018-11-23,564.0,567.3,556.9,556.9,20126.21,-7.6,-1.35,563.344,561.352,561.948,26313.87,36736.16,56113.72
2018-11-22,565.15,567.33,564.5,558.0,21213.33,-0.2,-0.04,563.964,561.862,564.608,28076.39,37157.23,57873.78
2018-11-21,554.0,568.9,564.7,553.68,27107.3,3.1,0.55,563.004,562.446,567.333,30000.4,38412.27,60591.53
2018-11-20,565.0,568.0,561.6,560.0,26943.26,-7.42,-1.3,561.084,562.616,570.947,32932.31,39512.31,63041.81
2018-11-19,560.3,572.0,569.02,559.11,36179.25,9.02,1.61,562.764,563.056,574.954,40829.46,41374.6,67850.28
2018-11-16,561.0,566.0,560.0,558.03,28938.79,0.3,0.05,559.36,563.734,581.153,47158.46,45308.39,69696.75
2018-11-15,558.8,564.8,559.7,555.5,30833.4,4.6,0.83,559.76,567.724,586.653,46238.06,51330.2,72059.77
2018-11-14,569.96,569.96,555.1,552.55,41766.83,-14.9,-2.61,561.888,568.054,590.965,46824.13,58057.53,73125.91
2018-11-13,546.12,570.0,570.0,543.0,66429.05,18.0,3.26,564.148,567.434,596.496,46092.32,63569.33,73191.42
2018-11-12,553.0,554.2,552.0,536.8,67824.22,-10.0,-1.78,563.348,562.834,601.353,41919.74,77366.1,71189.65
2018-11-09,567.22,569.0,562.0,562.0,24336.82,-8.34,-1.46,568.108,562.543,607.098,43458.31,75491.27,69578.8
2018-11-08,574.0,577.0,570.34,568.0,33763.74,3.94,0.7,575.688,567.353,612.398,56422.34,78590.33,71085.59
2018-11-07,569.0,574.95,566.4,562.01,38107.78,0.4,0.07,574.22,572.219,616.131,69290.94,82770.79,73976.5
2018-11-06,574.0,574.16,566.0,558.01,45566.14,-9.8,-1.7,570.72,579.278,621.357,81046.34,86571.3,75226.02
2018-11-05,593.0,593.0,575.8,571.77,75517.08,-24.1,-4.02,562.32,586.852,627.807,112812.45,94325.96,74958.86
